May Drug Tariff Part VIIIB,,,,,,,
,,,,,,,
VMP Snomed Code,VMPP Snomed Code,Medicine,Pack size,,Formulations,Spec Cont Ind,Basic Price
8270911000001106,8205611000001104,Acetazolamide 250mg/5ml oral suspension,1,ml,"SF, STD, LF, CF, NSF, AF, FF",,9
8270911000001106,20111811000001102,Acetazolamide 250mg/5ml oral suspension,100,ml,"SF, STD, LF, CF, NSF, AF, FF",,3326
11655511000001104,11637511000001109,Acitretin 5mg/5ml oral suspension,1,ml,"SF, STD, FF, AF, CF, NSF",,1
11655511000001104,35881311000001105,Acitretin 5mg/5ml oral suspension,60,ml,"SF, STD, FF, AF, CF, NSF",,5924
8272011000001106,8218911000001101,Allopurinol 100mg/5ml oral solution,1,ml,"SF, STD, AF, PF",,14
8272011000001106,40611211000001102,Allopurinol 100mg/5ml oral solution,100,ml,"SF, STD, AF, PF",,2729
8272111000001107,8220211000001101,Allopurinol 100mg/5ml oral suspension,1,ml,"SF, STD, LF, CF, NSF, AF, FF",,2
8272111000001107,21308211000001107,Allopurinol 100mg/5ml oral suspension,150,ml,"SF, STD, LF, CF, NSF, AF, FF",,2183
8273111000001101,8227711000001109,Allopurinol 300mg/5ml oral suspension,1,ml,"SF, STD, LF, CF, NSF, AF, FF",,4
8273111000001101,20444611000001109,Allopurinol 300mg/5ml oral suspension,100,ml,"SF, STD, LF, CF, NSF, AF, FF",,2844
8274411000001109,8230611000001102,Amiodarone 100mg/5ml oral suspension,1,ml,"SF, STD, LF, CF, NSF, AF, FF",,17
8274411000001109,27875011000001100,Amiodarone 100mg/5ml oral suspension,100,ml,"SF, STD, LF, CF, NSF, AF, FF",,2667
8276211000001100,8237211000001100,Amiodarone 50mg/5ml oral suspension,1,ml,"SF, STD, LF, CF, NSF, AF, FF",,7
8276211000001100,27875211000001105,Amiodarone 50mg/5ml oral suspension,100,ml,"SF, STD, LF, CF, NSF, AF, FF",,1400
