Service Code,Dept or Currency Code,Dept or Currency Desc,Activity,Unit cost,Cost
Ambulance,01 , Hear & Treat,1147817,65.5602,75251062.92
Ambulance,02 , See & Treat,2659366,326.9878,869580307.9
Ambulance,03 , See & Convey,4858582,458.7311,2228782763
Ambulance,04 , Other,4425204,22.4591,99385986.86
Audiology,AS01 ," Fitting of Hearing Aid, Adult",207724,128.4794,26688261.49
Audiology,AS02 ," Fitting of Hearing Aid, Child",16397,245.2654,4021616.866
Audiology,AS03 ," Fitting of Hearing Aid, Child, Specialist Audiology Services",4984,288.7031,1438896.277
Audiology,AS04 , Fitting of Hearing Aid or Device for Tinnitus,7235,189.2332,1369102.222
Audiology,AS05 ," Hearing Aid, Adult, Any Qualified Provider Contract",95124,113.8182,10826838.36
Audiology,AS06 ," Hearing Aid, Adult, Other Contract",215993,102.1323,22059866.12
Audiology,AS07 ," Hearing Aid, Child",24226,189.3642,4587536.068
Audiology,AS08 ," Follow-up, Adult, Face toFace",187753,82.078,15410392.33
Audiology,AS09 ," Follow-up, Child, Face to Face",62023,146.1761,9066283.051
Audiology,AS10 ," Follow-up, Non Face to Face",41047,53.3091,2188180.547
Audiology,AS11 , Aftercare,668073,56.3387,37638388.99
Audiology,AS12 ," Maintenance and Programming, Bone Anchored Hearing Aid",18316,129.85,2378331.69
Audiology,AS13 ," Maintenance and Programming, Cochlear Implant",52275,265.459,13876871.81
Audiology,AS14 ," Rehabilitative Audiology Service, One to One",33787,146.6812,4955917.08
Audiology,AS15 ," Rehabilitative Audiology Service, Group",288,423.9558,122099.2716
Audiology,ASNNS , Newborn Hearing Screening Programme Attendance,369876,58.7685,21737068.95
Audiology,CA37A ," Audiometry or Hearing Assessment, 19 years and over",199290,107.307,21385217.47
Audiology,CA37B ," Audiometry or Hearing Assessment, between 5 and 18 years",54302,103.1167,5599442.066
Audiology,CA37C ," Audiometry or Hearing Assessment, 4 years and under",46080,159.8944,7367935.43
Audiology,CA38A ," Evoked Potential Recording, 19 years and over",125,566.1855,70773.1859
Audiology,CA38B ," Evoked Potential Recording, 18 years and under",1552,308.5593,478884.0377
Audiology,CA39Z , Fixture for Bone Anchored Hearing Aids,443,133.6989,59228.63
Audiology,CA40Z , Fitting of Bone Anchored Hearing Aids,804,310.4111,249570.5178
Audiology,CA43Z , Balance Assessment,5322,126.3815,672602.5622
Cancer MDT,CMDTB , Breast Cancer MDT Meetings,664943,72.1138,47951559
Cancer MDT,CMDTC , Colorectal Cancer MDT Meetings,421928,71.4722,30156102.77
Cancer MDT,CMDTLG , Local Gynaecological Cancer MDT Meetings,315326,44.8049,14128142.07
Cancer MDT,CMDTOth , Other Cancer MDT Meetings,2294797,81.6952,187473848.5
Cancer MDT,CMDTSpG , Specilist Gynaecological Cancer MDT Meetings,52096,155.5887,8105550.158
Cancer MDT,CMDTSpU , Specialist Upper Gastrointestinal Cancer MDT Meetings,302604,93.4321,28272917.48
Community Health Service,A01A1 ," Other Therapist, Adult, One to One",391378,117.131,45842487.49
Community Health Service,A01AG ," Other Therapist, Adult, Group",7989,719.8582,5750947.431
Community Health Service,A01C1 ," Other Therapist, Child, One to One",62883,199.1741,12524665.26
Community Health Service,A01CG ," Other Therapist, Child, Group",53,227.7529,12070.9052
Community Health Service,A03 , Dietitian,797115,101.0917,80581709.74
